tag,keyword,name,value
"(0008,0005)",SpecificCharacterSet,Specific Character Set,ISO_IR 100
"(0008,0008)",ImageType,Image Type,"['ORIGINAL', 'PRIMARY', 'T1', 'NONE']"
"(0008,0012)",InstanceCreationDate,Instance Creation Date,20000101
"(0008,0013)",InstanceCreationTime,Instance Creation Time,120000
"(0008,0014)",InstanceCreatorUID,Instance Creator UID,
"(0008,0016)",SOPClassUID,SOP Class UID,1.2.840.10008.5.1.4.1.1.4.1
"(0008,0018)",SOPInstanceUID,SOP Instance UID,1.2.826.0.1.3680043.2.1143.6455556726214900995651753669640998622
"(0008,0020)",StudyDate,Study Date,20000101
"(0008,0021)",SeriesDate,Series Date,20000101
"(0008,0023)",ContentDate,Content Date,20000101
"(0008,002A)",AcquisitionDateTime,Acquisition DateTime,20120820120804.06
"(0008,0030)",StudyTime,Study Time,120000
"(0008,0031)",SeriesTime,Series Time,120000
"(0008,0033)",ContentTime,Content Time,120000
"(0008,0050)",AccessionNumber,Accession Number,
"(0008,0060)",Modality,Modality,MR
"(0008,0080)",InstitutionName,Institution Name,
"(0008,0090)",ReferringPhysicianName,Referring Physician's Name,
"(0008,0100)",CodeValue,Code Value,
"(0008,0102)",CodingSchemeDesignator,Coding Scheme Designator,DCM
"(0008,0104)",CodeMeaning,Code Meaning,
"(0008,1010)",StationName,Station Name,
"(0008,1030)",StudyDescription,Study Description,
"(0008,103E)",SeriesDescription,Series Description,
"(0008,1040)",InstitutionalDepartmentName,Institutional Department Name,
"(0008,1070)",OperatorsName,Operators' Name,
"(0008,1080)",AdmittingDiagnosesDescription,Admitting Diagnoses Description,
"(0008,9123)",CreatorVersionUID,Creator-Version UID,1.3.46.670589.11
"(0008,9205)",PixelPresentation,Pixel Presentation,MONOCHROME
"(0008,9206)",VolumetricProperties,Volumetric Properties,VOLUME
"(0008,9207)",VolumeBasedCalculationTechnique,Volume Based Calculation Technique,NONE
"(0008,9208)",ComplexImageComponent,Complex Image Component,MAGNITUDE
"(0008,9209)",AcquisitionContrast,Acquisition Contrast,T1
"(0010,0010)",PatientName,Patient's Name,
"(0010,0020)",PatientID,Patient ID,
"(0010,0030)",PatientBirthDate,Patient's Birth Date,20000101
"(0010,0040)",PatientSex,Patient's Sex,
"(0010,1000)",OtherPatientIDs,Other Patient IDs,
"(0010,1030)",PatientWeight,Patient's Weight,None
"(0010,21C0)",PregnancyStatus,Pregnancy Status,4
"(0012,0062)",PatientIdentityRemoved,Patient Identity Removed,YES
"(0012,0063)",DeidentificationMethod,De-identification Method,BASIC APPLICATION LEVEL CONFIDENTIALITY PROFILE
"(0018,0015)",BodyPartExamined,Body Part Examined,HEAD
"(0018,0023)",MRAcquisitionType,MR Acquisition Type,3D
"(0018,0087)",MagneticFieldStrength,Magnetic Field Strength,3
